STT,Indicator Name,Category,Keywords,Formula/Description,Time-Domain,Best For,Parameters,Interpretation,Limitations,Combine With,Avoid For
13,Fibonacci Retracement,Support/Resistance,fibonacci retracement golden-ratio support resistance levels,"Levels: 23.6%, 38.2%, 50%, 61.8%, 78.6% of swing high-low",Swing high/low identification (any timeframe),"Support/resistance levels, retracement targets, confluence zones","Swing high/low points, Key levels (38.2%, 61.8%)","Price bounces at Fib levels, 61.8% most significant, confluence with other levels = strong",Subjective (swing selection) self-fulfilling,Trendlines volume profile horizontal S/R,Ranging markets no clear swings
14,Pivot Points,Support/Resistance,pivot-points support resistance intraday floor-trader,"PP = (H + L + C)/3, S1 = 2PP - H, R1 = 2PP - L, etc.",Daily pivots (calculated from prior day OHLC),"Intraday S/R levels, day trading, floor trader levels","Calculation method (Standard, Fibonacci, Camarilla, Woodie)","Price at pivot = key level, above = bullish, below = bearish, bounces common",Static (prior day) less effective in trending days,VWAP volume profile order flow,Trending multi-day moves illiquid instruments
15,Volume Profile (VPOC),Volume Distribution,volume-profile vpoc point-of-control value-area auction,"Histogram of volume by price, POC = highest volume price node",Session or custom range,"Fair value identification, high-probability S/R, auction market theory","Value Area % (70%), Timeframe (session, day, week)","POC = fair value, Value Area = 70% volume range, high-volume nodes = S/R",Requires volume data lags (built from past) bar-dependent,Pivot points VWAP market profile,Low volume instruments futures without volume
16,Money Flow Index (MFI),Volume Momentum,mfi money-flow volume rsi overbought oversold,"MFI = 100 - 100/(1 + MFR), MFR = PositiveMF / NegativeMF",Regular bars (14-period standard),"Volume-weighted RSI, divergence detection, overbought/oversold with volume","Period (14), Overbought (80), Oversold (20)","Similar to RSI but volume-weighted, > 80 = overbought, < 20 = oversold",Requires volume data lags like RSI,RSI price action divergence detection,Low volume markets tick data
17,Aroon Indicator,Trend Identification,aroon up down crossover trend-strength time-based,"Aroon Up = (N - periods since N-high)/N·100, Aroon Down = similar for lows",Regular bars (25-period standard),"Trend strength, directional changes, new high/low identification","Period (25), Crossover threshold (50)","Aroon Up > 70 = strong uptrend, Down > 70 = downtrend, cross = reversal",Time-based (not price-based) lags,ADX trend confirmation momentum filters,Ranging markets no clear highs/lows
18,CCI (Commodity Channel Index),Momentum Oscillator,cci commodity-channel momentum overbought oversold deviation,"CCI = (TypicalPrice - SMA) / (0.015·MeanDeviation)",Regular bars (20-period standard),"Overbought/oversold, trend detection, divergence in commodities","Period (20), Extreme levels (±100, ±200)","CCI > +100 = overbought, < -100 = oversold, extreme readings in trends",Designed for commodities unbounded can stay extreme,Trendlines divergence confirmation volume,Equities (less cyclical) ranging markets
19,Williams %R,Momentum Oscillator,williams-percent-r overbought oversold momentum fast,"W%R = -100·(H_N - C)/(H_N - L_N)",Regular bars (14-period standard),"Fast overbought/oversold, similar to Stochastic, short-term reversals","Period (14), Overbought (-20), Oversold (-80)","Above -20 = overbought, below -80 = oversold, fast signals",Very sensitive whipsaws in chop,Stochastic RSI confirmation,Trend-following long-term strategies
20,Keltner Channels,Volatility Trend,keltner channels atr volatility bands trend envelope,"Middle = EMA(C), Upper = EMA + k·ATR, Lower = EMA - k·ATR",Regular bars (20 EMA + 10 ATR typical),"Trend-following, breakout detection, volatility envelope","EMA period (20), ATR period (10), Multiplier k (2)","Price at channel = extreme, breakout above = bullish trend, below = bearish",ATR-based (lags volatility) EMA lag,Bollinger Bands ADX breakout strategies,Choppy low-volatility markets
21,Parabolic SAR,Trend Stop,parabolic-sar stop-and-reverse trailing-stop trend-following,"SAR updates based on Extreme Point and Acceleration Factor",Regular bars (acceleration 0.02, max 0.2),"Trailing stop-loss, trend-following, stop-and-reverse signals","Initial AF (0.02), Max AF (0.2), Step (0.02)","Dots below price = uptrend, above = downtrend, dot flip = reversal signal",Whipsaws in ranges late exits in fast moves,ADX (filter for trend strength) momentum,Ranging sideways markets
22,Chaikin Money Flow (CMF),Volume Momentum,cmf chaikin money-flow volume accumulation-distribution,"CMF = Σ(MFV) / ΣVolume, MFV = [(C-L)-(H-C)]/(H-L)·V",Regular bars (20-period standard),"Accumulation/distribution, volume pressure, divergence","Period (20), Threshold (±0.05)","CMF > 0 = buying pressure, < 0 = selling pressure, divergence = reversal",Lags smoothed over period volume-dependent,Price action OBV volume profile,Low volume markets tick data
23,Donchian Channels,Breakout Range,donchian breakout channel high-low turtle-trading,"Upper = Highest High(N), Lower = Lowest Low(N)",Regular bars (20-period Turtle Traders),"Breakout strategies, trend-following, Turtle Traders system","Period (20 or 55), Breakout confirmation","Breakout above upper = buy signal, below lower = sell signal, original Turtle system",Lags (uses historical extremes) whipsaws,ATR for stops momentum confirmation volume,Ranging mean-reverting markets
